,name,latitude,longitude,bikes_available
315,Davenport Rd / Christie St,43.675278,-79.423889,20
316,King St W / Jordan St,43.648928,-79.378623,4
317,George St / King St E,43.6509552,-79.3707,13
318,E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,9
319,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,24
320,King St W / Charlotte St,43.645572,-79.39399,17
321,Jarvis St / Richmond St E,43.652777,-79.372637,7
322,Symington Ave / Dupont St,43.665538,-79.451263,7
323,King St E / Jarvis St,43.650325,-79.372287,19
324,Bay St / Bloor St W (East Side),43.66943,-79.38915,3
325,Bay St / Bloor St W (West Side),43.669244,-79.3894,1
326,Lonsdale Rd / Spadina Rd,43.688526,-79.412903,1
327,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,5
328,Dundas St E / George St,43.6574766,-79.373446,4
329,Fleet St / Bathurst St,43.636611,-79.400042,21
330,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,3
331,Wellington St W / Bay St,43.647259,-79.379878,12
332,Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,3
333,King St E / Church St,43.65003919999999,-79.3733541,11
334,Bay St / Albert St,43.653264,-79.382458,21
335,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,2
336,Bay St / College St (East Side),43.660439,-79.385525,10
337,University Ave / College St (West),43.659226,-79.390213,2
338,University Ave / College St (East),43.65995,-79.38964,4
339,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,1
340,Bay St / College St (West Side) - SMART,43.660087,-79.385655,4
341,Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,7
342,Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,18
343,Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,22
344,Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,21
345,St Clarens Ave / Shirley St,43.6486599,-79.4376413,2
346,Lisgar Park,43.6423847,-79.4240277,22
347,Bartlett Parkette,43.6702236,-79.4360232,4
348,Sherbourne St N / Elm Ave,43.6752732,-79.3778458,6
349,Walnut Ave / Queen St W,43.645469,-79.411084,8
350,Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,2
351,Palmerston Ave / Dundas St W,43.651603,-79.408346,10
352,541 Huron St - SMART,43.670206,-79.402643,9
353,Euclid Ave / Herrick St - SMART,43.661559,-79.413845,9
354,Baldwin St / Henry St,43.6560758,-79.393259,12
355,Orde St / McCaul St,43.6580442,-79.3927404,13
356,Ross St / Cecil St - SMART,43.6568254,-79.3966159,18
357,Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,13
358,Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,13
359,Windsor St / Newcastle St,43.6171635,-79.4971065,6
360,Royal York Rd / Mimico Ave,43.612063,-79.496573,18
361,Berry Rd / Bell Manor Dr,43.63732,-79.489083,13
362,Humber College,43.5961692,-79.5160575,25
363,Amos Waites Park,43.613606,-79.4883535,16
364,Priscilla  Ave / Dundas St W,43.664665,-79.489385,5
365,Durie St / Dundas St W,43.665523,-79.484892,8
366,St Clair Ave W / Castleton Ave,43.668496,-79.485426,13
